Symbol,Underlying Asset,SecurityName,DateofListing,MarketLot,ISINNumber,FaceValue,ETF Underlying,Underlying Key
NIFTYBEES,Nifty 50,NIPINDETFNIFTYBEES,08-Jan-02,1,INF204KB14I2,1,EQUITY,Nifty 50
JUNIORBEES,Nippon India ETF Nifty Next 50 Junior BeES,NIP IND ETF JUNIOR BEES,06-Mar-03,1,INF732E01045,1.25,EQUITY,Nifty Next 50
LIQUIDBEES,Government Securities,NIPINDETFLIQUIDBEES,16-Jul-03,1,INF732E01037,1000,DEBT,Overnight ETFs and Liquid ETF
BANKBEES,Nifty Bank,NIPINDETFBANKBEES,04-Jun-04,1,INF204KB15I9,1,EQUITY,Nifty Bank
GOLDBEES,Gold,NIPINDETFGOLDBEES,19-Mar-07,1,INF204KB17I5,1,COMMODITY,GOLD
GOLDBETA,Gold,UTIAMC -UTIGOLDBETA,17-Apr-07,1,INF789F1AUX7,1,COMMODITY,GOLD
GOLD1,Gold,KotakMutualFund-Gold,08-Aug-07,1,INF174KA1HJ8,10,COMMODITY,GOLD
PSUBNKBEES,Nifty PSU Bank,NIPINDETFPSUBANKBEES,01-Nov-07,1,INF204KB16I7,1,EQUITY,Nifty PSU Bank
PSUBANK,Nifty PSU Bank,KotakMahindraMutualFun,16-Nov-07,1,INF174KA1A86,1,EQUITY,Nifty PSU Bank
QGOLDHALF,Gold,Quantum Gold ETF,28-Feb-08,1,INF082J01408,100,COMMODITY,GOLD
QNIFTY,Nifty 50,QuantumNiftyETF,18-Jul-08,1,INF082J01499,10,EQUITY,Nifty 50
SHARIABEES,Shariah,NIPINDETFSHARIAHBEES,01-Apr-09,1,INF732E01128,10,EQUITY,Nifty 50 Shariah
SETFGOLD,Gold,SBI-ETFGold,28-May-09,1,INF200KA16D8,100,COMMODITY,GOLD
NIFTY1,Nifty 50,KotakNiftyETF,11-Feb-10,1,INF174K014P6,1,EQUITY,Nifty 50
HNGSNGBEES,Hang Seng Index,NIPINDETFHANGSENGBEES,18-Mar-10,1,INF204KB19I1,1,GLOBAL INDICES,GLOBAL INDICES
IVZINGOLD,Gold,InvescoIndiaGoldETF,22-Mar-10,1,INF205KA1BP1,1,COMMODITY,GOLD
MOM50,Nifty 50,MotilalOswalM50ETF,30-Jul-10,1,INF247L01536,7,EQUITY,Nifty 50
HDFCGOLD,Gold,HDFCGoldETF,19-Aug-10,1,INF179KC1981,1,COMMODITY,GOLD
GOLDIETF,Gold,ICICIPrudGoldETF,02-Sep-10,1,INF109KC1NT3,1,COMMODITY,GOLD
INFRABEES,Nifty Infra,NIPINDETFINFRABEES,05-Oct-10,1,INF732E01268,10,EQUITY,Nifty Infrastructure
GOLDAXIS,Gold,AXISAMC-GOLDAXIS,16-Nov-10,1,INF846K01W80,1,COMMODITY,GOLD
MOM100,Nifty Midcap 100,MotilalOsMidcap100ETF,04-Feb-11,1,INF247L01023,10,EQUITY,Nifty Midcap 100
MON100,Nasdaq100,MotilalOsNASDAQ100ETF,31-Mar-11,1,INF247L01AP3,1,GLOBAL INDICES,GLOBAL INDICES
BSLGOLDETF,Gold,ABSLGoldETF-GO,20-May-11,1,INF209KB18D3,10,COMMODITY,GOLD
IVZINNIFTY,Nifty 50,InvescoMF-NiftyETF,17-Jun-11,1,INF205KA1CC7,1,EQUITY,Nifty 50
BSLNIFTY,Nifty 50,ABSLNiftyETF-GO,27-Jul-11,1,INF209KB19D1,10,EQUITY,Nifty 50
LICMFGOLD,Gold,LICMF LICGoldETF,17-Nov-11,1,INF767K01SM1,1,COMMODITY,GOLD
NIFTYIETF,Nifty 50,ICICIPruNiftyETF,26-Mar-13,1,INF109K012R6,10,EQUITY,Nifty 50
NIF100BEES,Nifty 100 TRI,NIPINDETFNIFTY100,28-Mar-13,1,INF204K014N5,10,EQUITY,Nifty 100
NIF100IETF,Nifty 100,ICICIPruNifty100ETF,26-Aug-13,1,INF109KC16V9,10,EQUITY,Nifty 100
CPSEETF,CPSE ETF,CPSEETF,04-Apr-14,1,INF457M01133,10,EQUITY,Nifty CPSE
